season,month,0
0,1,24.508863
0,2,31.331364
0,3,41.18998
0,4,57.095066
0,5,72.989494
0,6,92.77183
0,7,134.27568
0,8,149.68674
0,9,186.41669
0,10,149.50671
0,11,100.28922
0,12,41.194588
1,1,27.94688
1,2,35.759495
1,3,44.843132
1,4,54.655396
1,5,71.19219
1,6,91.97056
1,7,114.263626
1,8,151.09462
1,9,192.5747
1,10,182.70341
1,11,116.545494
1,12,40.288918
2,1,35.0459
2,2,39.284077
2,3,49.25233
2,4,61.93895
2,5,75.5898
2,6,92.15178
2,7,118.02277
2,8,145.46503
2,9,192.41904
2,10,186.34727
2,11,129.63495
2,12,39.895863
3,1,29.407314
3,2,32.58497
3,3,42.211754
3,4,57.027855
3,5,74.02331
3,6,93.3542
3,7,135.52898
3,8,148.16145
3,9,148.31346
3,10,131.25114
3,11,85.96872
3,12,36.123478
4,1,25.52723
4,2,30.814175
4,3,41.88685
4,4,54.552727
4,5,70.98231
4,6,89.228485
4,7,105.736946
4,8,120.8111
4,9,134.83345
4,10,124.1336
4,11,83.03774
4,12,45.833725
5,1,34.756104
5,2,38.413906
5,3,49.21856
5,4,62.82434
5,5,80.481384
5,6,94.76331
5,7,112.38731
5,8,135.85968
5,9,159.92578
5,10,137.62773
5,11,82.32645
5,12,33.32735
6,1,30.321526
6,2,38.368603
6,3,44.925102
6,4,56.56299
6,5,70.333206
6,6,87.24222
6,7,101.410576
6,8,122.45465
6,9,167.11937
6,10,206.83241
6,11,106.40331
6,12,44.84469
7,1,34.931374
7,2,37.816063
7,3,49.45377
7,4,69.19671
7,5,108.11868
7,6,137.68718
7,7,176.08926
7,8,195.73885
7,9,251.39111
7,10,176.98517
7,11,87.032684
7,12,29.3934
8,1,28.406025
8,2,35.87974
8,3,46.6496
8,4,64.77363
8,5,82.873566
8,6,100.78285
8,7,142.66028
8,8,189.63882
8,9,247.05305
8,10,202.99493
8,11,85.07167
8,12,41.977947
9,1,31.72061
9,2,38.741467
9,3,48.38381
9,4,62.850464
9,5,84.85402
9,6,117.682526
9,7,175.37305
9,8,175.98921
9,9,206.44011
9,10,209.941
9,11,85.75866
9,12,41.039005
10,1,32.800518
10,2,32.80882
10,3,45.694233
10,4,60.3057
10,5,78.826126
10,6,93.51751
10,7,105.34048
10,8,118.23316
10,9,144.17792
10,10,135.70447
10,11,73.552734
10,12,42.07854
11,1,34.502235
11,2,39.882713
11,3,51.26673
11,4,62.253357
11,5,78.818184
11,6,91.33275
11,7,104.749596
11,8,126.526695
11,9,141.24942
11,10,129.25388
11,11,72.79945
11,12,27.087135
12,1,23.235737
12,2,32.066082
12,3,44.073357
12,4,55.222088
12,5,72.386986
12,6,86.5916
12,7,105.268585
12,8,133.30557
12,9,150.92253
12,10,149.98698
12,11,84.59473
12,12,39.794323
13,1,37.108597
13,2,39.666954
13,3,50.155315
13,4,60.09335
13,5,74.71968
13,6,100.89256
13,7,136.53891
13,8,183.83595
13,9,209.59955
13,10,195.7015
13,11,85.895424
13,12,49.08256
14,1,35.24747
14,2,38.20646
14,3,50.398823
14,4,66.88459
14,5,84.83104
14,6,112.31165
14,7,149.3819
14,8,184.85771
14,9,223.08783
14,10,218.51012
14,11,140.64445
14,12,37.32865
15,1,28.842049
15,2,34.76391
15,3,47.70563
15,4,62.228466
15,5,89.398506
15,6,121.37754
15,7,141.22145
15,8,163.39561
15,9,202.28363
15,10,204.18803
15,11,110.76887
15,12,38.164314
16,1,28.309046
16,2,35.892925
16,3,44.48925
16,4,56.116943
16,5,75.49352
16,6,101.15068
16,7,126.81565
16,8,153.90414
16,9,173.43605
16,10,156.98761
16,11,101.78321
16,12,49.29771
17,1,35.140953
17,2,41.645412
17,3,53.686687
17,4,69.88367
17,5,84.38387
17,6,99.64302
17,7,131.01207
17,8,165.65292
17,9,178.43265
17,10,175.85529
17,11,108.3026
17,12,36.091755
18,1,31.923513
18,2,39.47815
18,3,50.106297
18,4,63.44564
18,5,84.84384
18,6,109.21145
18,7,133.28474
18,8,160.54132
18,9,184.26126
