season,month,0
0,1,35.275494
0,2,46.511116
0,3,58.012474
0,4,82.553665
0,5,102.803154
0,6,120.91009
0,7,144.58493
0,8,167.49184
0,9,171.08382
0,10,156.36331
0,11,106.718636
0,12,38.865974
1,1,36.89261
1,2,46.835796
1,3,60.84944
1,4,77.34261
1,5,95.69435
1,6,116.64357
1,7,136.24925
1,8,156.03038
1,9,166.936
1,10,147.77452
1,11,93.592026
1,12,47.529472
2,1,39.171566
2,2,46.979256
2,3,62.48942
2,4,81.08841
2,5,102.29455
2,6,119.98593
2,7,141.0055
2,8,162.80635
2,9,170.61017
2,10,144.7754
2,11,91.73996
2,12,45.454464
3,1,39.791195
3,2,41.120293
3,3,55.60833
3,4,76.72534
3,5,94.783966
3,6,113.83481
3,7,139.20625
3,8,156.56259
3,9,165.62427
3,10,156.02505
3,11,96.79473
3,12,46.038155
4,1,31.80397
4,2,37.84644
4,3,54.253307
4,4,72.82392
4,5,94.42715
4,6,114.94903
4,7,140.89595
4,8,163.58272
4,9,170.50348
4,10,148.01842
4,11,94.95674
4,12,46.35502
5,1,42.147217
5,2,47.549885
5,3,57.93363
5,4,75.1873
5,5,98.87125
5,6,117.954185
5,7,138.3498
5,8,158.85901
5,9,166.50638
5,10,155.20764
5,11,98.49424
5,12,41.536606
6,1,36.9584
6,2,43.93705
6,3,57.90482
6,4,78.02291
6,5,98.18277
6,6,121.34559
6,7,149.79655
6,8,167.28084
6,9,181.26741
6,10,160.7131
6,11,101.524445
6,12,44.385334
7,1,38.107475
7,2,44.818863
7,3,58.75089
7,4,78.74052
7,5,102.88041
7,6,126.2125
7,7,144.6723
7,8,162.95863
7,9,171.7026
7,10,152.61551
7,11,91.78421
7,12,47.198486
8,1,36.76205
8,2,43.10705
8,3,57.61926
8,4,79.93859
8,5,105.82073
8,6,129.66548
8,7,154.15483
8,8,170.87698
8,9,175.07816
8,10,156.40834
8,11,107.92112
8,12,63.878834
9,1,41.97091
9,2,51.85752
9,3,66.092316
9,4,80.61401
9,5,104.01779
9,6,127.86476
9,7,146.53767
9,8,161.13623
9,9,172.4393
9,10,163.87633
9,11,101.75302
9,12,45.725742
10,1,36.21319
10,2,39.403347
10,3,52.19995
10,4,73.45744
10,5,100.29897
10,6,127.18169
10,7,149.19087
10,8,164.82869
10,9,171.27565
10,10,141.74594
10,11,96.697044
10,12,47.365334
