season,month,0
0,1,23.410276
0,2,31.641493
0,3,45.48794
0,4,67.74944
0,5,102.26811
0,6,160.84738
0,7,219.40297
0,8,258.3697
0,9,273.51135
0,10,228.70438
0,11,90.274895
0,12,30.08795
1,1,35.7175
1,2,35.952854
1,3,51.09367
1,4,70.06763
1,5,95.69686
1,6,132.38373
1,7,182.93642
1,8,223.38637
1,9,242.82896
1,10,199.32109
1,11,88.517044
1,12,33.655853
2,1,24.813316
2,2,37.01995
2,3,52.483307
2,4,77.17888
2,5,104.8531
2,6,127.68811
2,7,145.5951
2,8,173.64696
2,9,194.40205
2,10,186.69969
2,11,92.47112
2,12,28.145004
3,1,29.850697
3,2,39.609905
3,3,50.250397
3,4,69.43105
3,5,90.855515
3,6,117.54501
3,7,175.77403
3,8,239.72617
3,9,263.6396
3,10,238.41513
3,11,96.62875
3,12,31.02184
4,1,26.591553
4,2,31.06431
4,3,50.317204
4,4,70.09887
4,5,95.5991
4,6,132.79103
4,7,169.14456
4,8,221.02972
4,9,246.46095
4,10,228.19757
4,11,87.24661
4,12,29.67255
5,1,27.628159
5,2,41.44874
5,3,46.802437
5,4,71.771904
5,5,95.75546
5,6,124.33711
5,7,155.54027
5,8,213.47992
5,9,251.55644
5,10,203.4797
5,11,78.69682
5,12,33.13317
6,1,21.701864
6,2,29.24389
6,3,49.45463
6,4,80.970085
6,5,101.63068
6,6,130.11702
6,7,171.79065
6,8,225.5403
6,9,257.20386
6,10,182.27779
6,11,80.86424
6,12,26.253702
7,1,26.284771
7,2,33.5289
7,3,49.253338
7,4,71.725426
7,5,103.54769
7,6,139.93457
7,7,198.21336
7,8,234.35802
7,9,266.45328
7,10,226.40149
7,11,78.772736
7,12,34.543304
8,1,28.707232
8,2,35.51477
8,3,54.917305
8,4,72.203156
8,5,93.85438
8,6,132.37877
8,7,183.43015
8,8,220.68591
8,9,246.45245
8,10,216.41832
8,11,82.41849
8,12,48.032787
9,1,33.26305
9,2,40.44528
9,3,58.430946
9,4,80.5944
9,5,118.069916
9,6,168.21086
9,7,206.28835
9,8,261.735
9,9,286.82187
9,10,258.53674
9,11,85.774864
9,12,25.70251
10,1,24.037054
10,2,39.306305
10,3,51.79607
10,4,74.40595
10,5,127.777596
10,6,205.17601
10,7,241.77608
10,8,300.5453
10,9,324.43542
10,10,264.6711
10,11,103.06369
10,12,38.61627
