season,month,0
0,1,32.54734
0,2,43.33246
0,3,54.676098
0,4,80.21602
0,5,103.269104
0,6,122.09899
0,7,145.19121
0,8,163.80063
0,9,166.59662
0,10,152.52692
0,11,102.99082
0,12,32.935467
1,1,36.09025
1,2,43.270733
1,3,58.649487
1,4,76.846725
1,5,96.62174
1,6,117.02002
1,7,136.0762
1,8,153.19666
1,9,163.3127
1,10,149.87596
1,11,93.7632
1,12,45.525547
2,1,33.118
2,2,40.250942
2,3,57.311478
2,4,79.53296
2,5,104.32634
2,6,122.774055
2,7,139.05655
2,8,156.19868
2,9,161.82356
2,10,142.62624
2,11,87.27955
2,12,39.19881
3,1,36.16182
3,2,38.70373
3,3,53.361137
3,4,75.17676
3,5,93.599464
3,6,115.12371
3,7,139.39777
3,8,153.55482
3,9,160.40744
3,10,153.05724
3,11,84.96282
3,12,36.958214
4,1,28.161798
4,2,36.205723
4,3,52.408867
4,4,71.02304
4,5,93.59008
4,6,115.6577
4,7,137.59737
4,8,157.831
4,9,163.52132
4,10,146.96298
4,11,95.23784
4,12,38.504242
5,1,38.30346
5,2,46.008915
5,3,55.217648
5,4,73.455124
5,5,98.79067
5,6,120.50695
5,7,138.07486
5,8,153.4194
5,9,159.44249
5,10,148.66438
5,11,89.1935
5,12,36.59342
6,1,31.28263
6,2,40.030483
6,3,56.62783
6,4,80.280525
6,5,102.54073
6,6,127.976204
6,7,162.06973
6,8,174.93063
6,9,185.94829
6,10,155.82372
6,11,102.11735
6,12,36.233032
7,1,32.351162
7,2,40.35806
7,3,54.83652
7,4,77.664894
7,5,104.13993
7,6,129.11365
7,7,144.69276
7,8,159.70189
7,9,167.73357
7,10,153.52621
7,11,92.62511
7,12,47.05356
8,1,34.045685
8,2,39.881042
8,3,55.761284
8,4,78.04295
8,5,104.15502
8,6,128.39722
8,7,151.78665
8,8,163.80394
8,9,166.41214
8,10,150.5372
8,11,97.9512
8,12,60.887688
9,1,36.602192
9,2,47.90609
9,3,62.949017
9,4,79.126175
9,5,106.68599
9,6,143.2737
9,7,160.33029
9,8,175.41531
9,9,179.9202
9,10,160.43501
9,11,91.48215
9,12,34.763794
10,1,31.735985
10,2,37.889957
10,3,50.456448
10,4,71.27445
10,5,101.845116
10,6,133.88063
10,7,150.53671
10,8,161.49414
10,9,163.99818
10,10,140.2138
10,11,98.14242
10,12,43.240005
11,1,32.188557
11,2,43.23275
11,3,57.49372
11,4,77.93345
11,5,109.68007
11,6,147.39151
11,7,179.04417
11,8,189.97379
11,9,199.65971
11,10,178.57208
11,11,92.69593
11,12,28.993124
12,1,27.06405
12,2,38.746197
12,3,53.470413
12,4,75.14054
12,5,100.41998
12,6,126.47722
12,7,151.65137
12,8,157.03864
12,9,160.7861
12,10,152.46613
12,11,95.007614
12,12,44.323566
13,1,44.287582
13,2,52.195915
13,3,63.235455
13,4,79.43667
13,5,98.571686
13,6,123.02915
13,7,140.19856
13,8,158.76111
13,9,165.35863
13,10,154.5453
13,11,90.22863
13,12,51.77566
14,1,33.613102
14,2,45.087444
14,3,60.23211
14,4,77.19686
14,5,99.59999
14,6,125.89302
14,7,154.90453
14,8,168.98676
14,9,181.03766
14,10,163.94614
14,11,90.563576
14,12,39.851368
