time,aice
1965-02-15,309.0
1966-02-15,323.0
1967-02-15,312.0
1968-02-15,298.0
1969-02-15,328.0
1970-02-15,323.0
1971-02-15,321.0
1972-02-15,323.0
1973-02-15,314.0
1974-02-15,314.0
1975-02-15,316.0
1976-02-15,306.0
1977-02-15,291.0
1978-02-15,320.0
1979-02-15,310.0
1980-02-15,326.0
1981-02-15,324.0
1982-02-15,321.0
1983-02-15,327.0
1984-02-15,320.0
1985-02-15,340.0
1986-02-15,333.0
1987-02-15,331.0
1988-02-15,329.0
1989-02-15,319.0
1990-02-15,317.0
1991-02-15,306.0
1992-02-15,324.0
1993-02-15,329.0
1994-02-15,320.0
1995-02-15,330.0
1996-02-15,314.0
1997-02-15,319.0
1998-02-15,329.0
1999-02-15,323.0
2000-02-15,328.0
2001-02-15,320.0
2002-02-15,310.0
2003-02-15,310.0
2004-02-15,320.0
2005-02-15,330.0
2006-02-15,334.0
2007-02-15,333.0
2008-02-15,329.0
2009-02-15,310.0
2010-02-15,329.0
2011-02-15,332.0
2012-02-15,319.0
2013-02-15,321.0
2014-02-15,332.0
2015-02-15,326.0
2016-02-15,309.0
2017-02-15,321.0
