season,month,0
0,1,20.239832
0,2,25.042372
0,3,33.520493
0,4,53.507656
0,5,74.56439
0,6,93.25739
0,7,109.84301
0,8,126.62466
0,9,141.37576
0,10,142.75574
0,11,92.21322
0,12,22.482878
1,1,22.6187
1,2,26.433104
1,3,36.73839
1,4,52.335194
1,5,72.16425
1,6,96.8106
1,7,113.72482
1,8,141.61902
1,9,179.38377
1,10,227.89923
1,11,144.76764
1,12,21.867468
2,1,18.69552
2,2,25.796633
2,3,36.209908
2,4,56.28378
2,5,75.61994
2,6,91.04037
2,7,109.216194
2,8,195.48186
2,9,258.617
2,10,191.73444
2,11,83.91292
2,12,19.96755
3,1,21.8754
3,2,30.215412
3,3,41.511673
3,4,56.95622
3,5,78.302345
3,6,103.665695
3,7,132.51305
3,8,183.18773
3,9,165.54353
3,10,141.97275
3,11,92.23722
3,12,28.525312
4,1,22.058586
4,2,30.952545
4,3,43.934765
4,4,60.96121
4,5,84.272964
4,6,105.42384
4,7,141.81033
4,8,224.51498
4,9,241.33858
4,10,198.34143
4,11,130.25911
4,12,26.973522
5,1,18.257174
5,2,28.009766
5,3,40.6104
5,4,58.412247
5,5,83.15039
5,6,105.547516
5,7,116.79423
5,8,142.1704
5,9,188.53392
5,10,231.28621
5,11,132.01515
5,12,19.63339
6,1,16.796259
6,2,24.081736
6,3,36.90442
6,4,61.836742
6,5,83.27608
6,6,114.37737
6,7,166.86845
6,8,302.8424
6,9,343.94785
6,10,248.85289
6,11,135.10335
6,12,18.51344
7,1,17.324995
7,2,24.134829
7,3,36.1237
7,4,50.249
7,5,70.39798
7,6,89.70786
7,7,110.643745
7,8,135.5045
7,9,154.63594
7,10,149.98238
7,11,103.21974
7,12,23.443056
8,1,16.200932
8,2,24.768812
8,3,41.954224
8,4,66.59882
8,5,83.36928
8,6,102.753174
8,7,122.56007
8,8,147.13933
8,9,176.76114
8,10,188.5623
8,11,97.38996
8,12,24.649252
9,1,19.111183
9,2,27.758131
9,3,40.101105
9,4,68.19365
9,5,111.83044
9,6,156.91519
9,7,206.1303
9,8,292.9227
9,9,284.23593
9,10,318.63724
9,11,125.29354
9,12,15.135765
10,1,14.95413
10,2,26.995174
10,3,38.84079
10,4,59.556255
10,5,104.38279
10,6,166.60822
10,7,199.50311
10,8,236.8198
10,9,278.20987
10,10,276.16937
10,11,124.04245
10,12,16.022367
11,1,19.012463
11,2,26.396868
11,3,39.29746
11,4,62.38514
11,5,86.08355
11,6,135.00264
11,7,211.90594
11,8,240.17303
11,9,312.69055
11,10,264.6677
11,11,102.54537
11,12,17.713533
12,1,16.157133
12,2,24.529764
12,3,37.670013
12,4,55.485855
12,5,75.63732
12,6,108.02134
12,7,157.88026
12,8,214.2677
12,9,236.7432
12,10,220.27898
12,11,106.74959
12,12,26.704723
13,1,25.09649
13,2,29.190893
13,3,42.194145
13,4,62.783463
13,5,85.61905
13,6,112.3497
13,7,155.66003
13,8,175.37482
13,9,227.02876
13,10,222.91125
13,11,109.550545
13,12,31.21124
14,1,22.21777
14,2,32.438713
14,3,44.265736
14,4,60.37019
14,5,80.97433
14,6,108.89318
14,7,139.57787
14,8,166.5412
14,9,177.34392
14,10,173.0763
14,11,109.66949
14,12,25.706251
15,1,19.906939
15,2,28.02688
15,3,39.542984
15,4,52.899536
15,5,68.966286
15,6,86.715256
15,7,100.52968
15,8,118.14531
15,9,135.65546
15,10,133.24692
15,11,82.47622
15,12,25.110447
16,1,24.067171
16,2,31.007507
16,3,41.81099
16,4,54.418655
16,5,73.44459
16,6,98.843994
16,7,134.9435
16,8,148.68593
16,9,154.01147
16,10,154.03598
16,11,118.562614
16,12,41.16566
17,1,19.819918
17,2,29.37755
17,3,46.211285
17,4,71.10197
17,5,91.74741
17,6,109.68202
17,7,143.25414
17,8,185.81166
17,9,165.15039
17,10,166.22311
17,11,109.57125
17,12,25.392464
18,1,20.517921
18,2,26.581503
18,3,41.792133
18,4,59.808212
18,5,79.581
18,6,95.34569
18,7,113.80626
18,8,134.99606
18,9,142.68571
18,10,140.11435
18,11,111.25402
18,12,45.992172
19,1,19.057932
19,2,26.414782
19,3,40.69703
19,4,58.146843
19,5,75.9048
19,6,91.11712
19,7,112.56381
19,8,128.70413
19,9,157.97575
19,10,135.35127
19,11,99.00034
19,12,24.603106
20,1,19.425222
20,2,26.911646
20,3,41.705322
20,4,60.37003
20,5,82.37019
20,6,97.28807
20,7,114.109634
20,8,128.74828
20,9,144.54831
20,10,147.38965
20,11,115.02459
20,12,51.149807
21,1,20.168072
21,2,25.13785
21,3,36.177197
21,4,57.233814
21,5,73.91874
21,6,87.401726
21,7,101.39279
21,8,118.63725
21,9,130.91075
21,10,124.36226
21,11,96.16308
21,12,34.922626
22,1,19.407179
22,2,26.29973
22,3,40.738388
22,4,59.311436
22,5,78.556564
22,6,91.5576
22,7,101.595726
22,8,115.88061
22,9,123.66748
22,10,118.63633
22,11,102.12263
22,12,31.055784
23,1,19.66103
23,2,27.79698
23,3,41.56892
23,4,60.755486
23,5,78.733185
23,6,92.103615
23,7,101.54549
23,8,113.58332
23,9,120.62668
23,10,111.14471
23,11,70.93981
23,12,28.523312
24,1,21.32553
24,2,30.623056
24,3,42.63033
24,4,54.102974
24,5,74.96268
24,6,95.834114
24,7,110.72468
24,8,122.3448
24,9,126.00615
24,10,127.7055
24,11,106.83725
24,12,31.425722
25,1,21.480103
25,2,31.239563
25,3,43.99545
25,4,62.951866
25,5,81.909035
25,6,99.0292
25,7,109.08066
25,8,121.3753
25,9,130.79541
25,10,135.09528
25,11,97.87007
25,12,24.30583
26,1,24.478764
26,2,31.688627
26,3,45.832767
26,4,66.39271
26,5,86.3406
26,6,101.24535
26,7,109.93392
26,8,122.56069
26,9,135.52846
26,10,128.09563
26,11,91.397545
26,12,29.72947
27,1,22.606674
27,2,28.479744
27,3,40.032867
27,4,59.280346
27,5,83.46067
27,6,97.76632
27,7,113.7121
27,8,125.5123
27,9,143.44675
27,10,142.9088
27,11,106.11401
27,12,36.944645
28,1,19.97172
28,2,31.581024
28,3,45.15576
28,4,62.320126
28,5,85.28498
28,6,104.91563
28,7,122.81994
28,8,133.0994
28,9,146.72061
28,10,139.81851
28,11,96.4161
28,12,35.117813
29,1,22.367807
29,2,31.686153
29,3,47.93973
29,4,67.386986
29,5,84.593506
29,6,100.913765
29,7,110.44911
29,8,127.058685
29,9,130.69867
29,10,121.70805
29,11,75.65529
29,12,31.699417
30,1,25.05485
30,2,31.424082
30,3,41.958015
30,4,58.33787
30,5,81.28789
30,6,96.728226
30,7,108.580696
30,8,115.85121
30,9,124.31788
30,10,125.543045
30,11,99.95256
30,12,35.23802
31,1,30.468258
31,2,31.83598
31,3,44.619694
31,4,65.69432
31,5,84.54174
31,6,101.525375
31,7,116.632996
31,8,124.450645
31,9,123.73374
31,10,130.7811
31,11,73.01415
31,12,17.94263
32,1,20.65052
32,2,27.173523
32,3,38.984303
32,4,57.238895
32,5,82.79242
32,6,104.58747
32,7,135.50568
32,8,163.80661
32,9,161.19775
32,10,147.74123
32,11,84.12017
32,12,20.213364
33,1,21.01383
33,2,33.651497
33,3,44.43637
33,4,63.450058
33,5,82.90924
33,6,98.40046
33,7,111.35279
33,8,125.92488
33,9,128.15472
33,10,121.76905
33,11,103.9146
33,12,36.783
34,1,21.574364
34,2,30.671751
34,3,46.01187
34,4,68.98877
34,5,91.478676
34,6,108.74644
34,7,123.52799
34,8,129.01033
34,9,136.53769
34,10,141.48248
34,11,101.9103
34,12,46.349537
35,1,35.50967
35,2,42.18833
35,3,53.093872
35,4,71.62398
35,5,89.83645
35,6,101.9938
35,7,116.942024
35,8,129.47012
35,9,129.80844
35,10,132.52776
35,11,102.6322
35,12,22.908602
36,1,20.556416
36,2,29.875963
36,3,42.929195
36,4,61.250957
36,5,78.884735
36,6,96.04336
36,7,109.010414
36,8,121.68842
36,9,137.72685
36,10,138.25797
36,11,107.73411
36,12,40.657143
37,1,23.457113
37,2,34.89965
37,3,44.026264
37,4,63.338833
37,5,86.012505
37,6,97.88234
37,7,112.19761
37,8,130.2634
37,9,131.08626
